Município,Atribuições dos Coordenadores do PNI em Regimento Interno,Fiscalização das Salas de Vacinas pelo Coordenador do PNI,Equipes Completa nas UBS do Município,Análise das Capacitações das Equipes de Vacinação,Enfermeiro Substituto em Todas as UBS,Campanhas de Conscientização em Mídia pela UJ,Vacinação em Crianças de 0-6 Anos nas Escolas durante 2022/2023,Notificações de Alterações de Temperatura em Equipamentos,Registro de Perdas por Validade Expirada de Vacinas,Registro/envio de Falta de Imunobiológicos e Insumos,Turno Estendido nas Unidades Básicas de Saúde,Norma Municipal para Busca Ativa Vacinal,Cobertura Vacinal
Brejo da Madre de Deus,0.0,0,1,0.5,1.0,1,1,0,0,0,0.0,0,0.8931999999999999
Jaboatão dos Guararapes,0.0,0,0,1.0,0.0,1,0,0,1,0,0.0,0,0.4341
Camaragibe,0.5,0,1,0.5,1.0,1,0,1,0,0,0.0,0,0.3908
Petrolina,0.0,0,0,1.0,1.0,1,0,1,1,1,0.0,1,0.8169249999999999
Frei Miguelinho,0.5,0,1,1.0,1.0,1,1,1,1,1,0.0,0,1.36035
Riacho das Almas,0.5,0,1,0.5,0.0,1,1,1,1,0,0.0,0,0.7880750000000001
Flores,0.5,0,1,0.5,0.0,1,1,1,1,1,0.0,0,1.0877249999999998
Vicência,0.5,0,0,0.5,0.0,1,1,1,1,1,0.0,0,0.8856
Custódia,0.0,0,1,1.0,0.0,1,0,1,0,0,0.0,0,1.034425
Buenos Aires,0.5,0,0,0.0,1.0,0,1,1,1,1,0.0,0,0.849725
Jaqueira,0.0,0,1,0.5,1.0,1,1,1,0,0,0.0,0,0.912775
Rio Formoso,0.0,0,1,0.5,1.0,1,1,1,0,0,0.0,0,0.710125
Quipapá,0.0,0,1,1.0,1.0,1,1,1,0,1,0.0,0,0.80125
Vitória de Santo Antão,0.0,0,1,1.0,0.0,1,1,0,1,0,0.0,1,0.69285
Sairé,0.5,0,1,0.0,0.0,1,1,1,0,0,0.0,1,0.79925
Olinda,0.5,0,1,0.5,0.0,0,1,1,0,0,0.0,0,0.7500249999999999
Altinho,0.0,0,1,0.5,0.0,1,1,1,0,0,1.0,0,0.774625
Barreiros,0.5,0,1,0.0,0.5,1,1,0,0,0,0.0,0,0.8047
São José do Egito,0.5,0,1,1.0,0.0,1,1,1,1,1,0.0,0,1.05
São José da Coroa Grande,0.0,0,1,0.5,1.0,0,0,1,0,0,0.0,0,1.145775
Triunfo,1.0,1,1,1.0,0.0,1,1,1,1,0,0.0,0,0.9357
Bom Conselho,0.5,0,1,1.0,1.0,1,1,1,1,1,0.0,0,1.4026999999999998
Serrita,0.5,0,0,0.0,1.0,1,1,1,1,1,0.0,0,0.8987
Orobó,0.5,0,0,0.5,0.0,1,1,1,1,1,0.0,0,1.1225749999999999
Passira,0.5,0,1,1.0,1.0,1,1,1,1,1,0.0,1,0.8428
Caruaru,1.0,1,1,1.0,0.0,1,1,1,1,1,0.0,0,0.855525
Machados,0.5,0,1,0.5,0.0,1,0,1,1,1,1.0,0,1.02745
Afogados da Ingazeira,0.5,0,1,0.0,0.0,1,1,1,1,0,0.0,1,0.8419500000000001
Carnaíba,1.0,0,1,1.0,1.0,0,0,1,0,0,1.0,0,1.015275
Solidão,0.0,0,1,0.5,0.0,1,1,1,1,1,0.0,0,0.842775
Quixaba,0.5,0,1,0.5,1.0,1,0,1,0,1,1.0,0,0.7500249999999999
Surubim,0.5,0,1,0.5,0.0,1,1,0,1,0,0.0,0,0.9538
Vertentes,0.0,0,1,1.0,1.0,1,1,0,0,0,0.0,0,0.5533250000000001
Santa Cruz da Baixa Verde,0.5,0,1,1.0,1.0,1,1,0,1,1,0.0,0,1.01935
Taquaritinga do Norte,0.0,0,1,0.5,0.0,0,0,1,1,1,1.0,0,1.024425
Ipojuca,0.0,0,1,1.0,1.0,1,1,0,0,0,0.0,0,0.7031000000000001
Carpina,0.0,0,1,1.0,1.0,1,1,1,1,1,0.0,0,0.84205
Lagoa do Carro,0.0,0,1,1.0,1.0,1,1,1,1,0,0.0,0,1.0679
Carnaubeira da Penha,0.5,0,1,1.0,0.0,1,1,1,1,1,0.0,0,0.74705
Mirandiba,0.5,0,0,1.0,0.0,1,1,1,1,0,0.5,1,1.095825
Cedro,1.0,0,0,0.0,0.0,1,1,1,0,0,1.0,0,1.160075
Cachoeirinha,1.0,1,1,0.5,0.5,1,1,0,1,1,0.0,0,1.2665
Bonito,1.0,1,1,0.5,1.0,1,1,1,1,1,0.0,0,0.76
São Caetano,0.5,0,1,0.0,1.0,1,1,1,1,1,0.0,0,1.0078
Sanharó,0.5,0,1,0.5,0.0,1,0,1,0,0,0.0,0,0.9068
Barra de Guabiraba,0.5,0,1,0.5,0.0,1,1,0,1,0,0.0,0,0.9487749999999999
