Município,PME,Alfabetização na idade certa,LOA para Alfabetização,Adesão ao Programa Criança Alfabetizada,Adesão ao Compromisso Nacional Criança Alfabetizada,Plano de Formação Continuada,Formação para Professores Alfabetizadores,Material Complementar Especifico,Avaliações,Monitoramento Sistemático dos Alunos 1o e 2o,SAEPE - Participação,SAEPE - Proficiência
Altinho,1,0,0,1,1,0,0,1,0,0,0.62,0.58
Chã Grande,1,0,0,1,1,0,0,0,0,0,0.89,0.48
Jurema,1,0,0,1,0,0,0,0,0,0,0.92,0.47
Xexéu,1,0,0,1,1,0,0,0,0,0,0.77,0.59
Jatobá,1,0,0,0,1,0,0,0,0,0,0.85,0.53
Barreiros,1,0,0,1,1,0,0,0,0,0,0.8,0.55
Cumaru,1,0,0,1,1,0,0,0,0,0,0.78,0.56
Buenos Aires,0,0,0,1,1,0,0,0,0,0,0.78,0.58
Santa Maria da Boa Vista,1,0,0,1,1,0,0,1,0,0,0.65,0.51
Ouricuri,1,0,0,1,1,0.5,0,0,0,0,0.71,0.54
Bodocó,1,0,0,1,1,0,0,1,0,0,0.64,0.52
Santa Terezinha,1,0,0,1,1,0,0,0,0,0,0.73,0.6
Riacho das Almas,1,0,0,1,1,0,0,1,0,0,0.63,0.53
Lagoa dos Gatos,1,0,0,1,1,0,1,0,0,0,0.54,0.61
Canhotinho,1,0,0,0,1,0,0,0,0,0,0.8,0.55
Tacaimbó,1,0,0,1,1,0,0,0,0,0,0.82,0.5
Araripina,1,0,0,0,1,0,0,0,0,0,0.84,0.5
Iguaracy,1,0,0,1,1,0,0,0,0,0,0.64,0.68
Parnamirim,1,0,0,1,1,0,0,0,0,0,0.76,0.56
Bezerros,1,0,0,1,1,0,0,0,0,0,0.84,0.48
Calumbi,1,0,0,1,1,0,0,0,0,0,0.73,0.58
Tacaratu,1,0,0,1,1,0,0,0,0,0,0.73,0.58
Moreno,1,0,0,0,1,0,0,0,0,0,0.81,0.52
Pesqueira,1,0,0,1,0,0,0,0,0,0,0.8,0.52
Santa Cruz,1,0,0,1,1,0,0,0,0,0,0.66,0.64
Pedra,1,0,0,1,0,0,0,0,0,0,0.71,0.6
Maraial,0,0,0,1,1,0,0,0,0,0,0.75,0.56
Ribeirão,0,0,0,0,0,0,0,1,0,0,0.71,0.48
Poção,1,0,0,0,1,0,1,0,0,0,0.67,0.47
Garanhuns,1,0,0,0,1,0,0,0,0,0,0.83,0.48
Correntes,1,0,0,1,1,0,0,0,0,0,0.77,0.51
Dormentes,1,0,0,1,0,0,0,0,0,0,0.75,0.55
Lagoa de Itaenga,1,0,0,1,0,0,0,0,0,0,0.85,0.52
Capoeiras,1,0,0,0,0,0,0,0,0,0,0.83,0.5
Ibirajuba,1,0,0,0,0,0,0,0,0,0,0.81,0.52
Aliança,1,0,0,1,1,0,0,0,0,0,0.74,0.54
Agrestina,1,0,0,0,1,0,0,0,0,0,0.72,0.57
Vertente do Lério,1,0,0,1,1,0,0,0,0,0,0.69,0.59
Serrita,1,0,0,0,1,0,0,0,0,0,0.76,0.53
Sertânia,1,0,0,0,0,0,0,0,0,0,0.76,0.55
Moreilândia,1,0,0,0,1,0,0,0,0,0,0.73,0.55
Alagoinha,1,0,0,0,1,0,0,0,0,0,0.78,0.49
São Lourenço da Mata,1,0,0,0,1,0,0,0,0,0,0.73,0.53
João Alfredo,1,0,0,1,1,0,0,0,0,0,0.72,0.52
Paulista,1,0,0,0,0,0,0,0,0,0,0.78,0.5
São Caetano,1,0,0,1,1,0,0,0,0,0,0.77,0.46
Flores,1,0,0,1,1,0,0,0,0,0,0.63,0.58
Terezinha,1,0,0,1,1,0,0,0,0,0,0.6,0.61
Santa Filomena,1,0,0,1,0,0,0,0,0,0,0.68,0.53
Gravatá,1,0,0,0,1,0,0,0,0,0,0.72,0.5
Lajedo,1,0,0,0,0,0,0,0,0,0,0.71,0.53
Joaquim Nabuco,1,0,0,0,1,0,0,0,0,0,0.73,0.48
Verdejante,1,0,0,1,1,0,0,0,0,0,0.57,0.62
Brejão,1,0,0,1,1,0,0,0,0,0,0.65,0.54
Sanharó,1,0,0,1,1,0,0,0,0,0,0.73,0.45
Belo Jardim,1,0,0,0,1,0,0,0,0,0,0.69,0.51
Floresta,1,0,0,0,1,0,0,1,0,0,0.59,0.43
Jaqueira,1,0,0,0,1,0,0,1,0,0,0.48,0.54
Orobó,1,0,0,0,1,0,0,0,0,0,0.54,0.63
Paranatama,1,0,0,0,1,0,0,0,0,0,0.6,0.57
Casinhas,1,0,0,0,1,0,0,0,0,0,0.48,0.68
Brejo da Madre de Deus,1,0,0,1,0,0,0,0,0,0,0.63,0.51
Tupanatinga,1,0,0,0,1,0,0,0,0,0,0.64,0.5
Surubim,1,0,0,0,1,0,0,0,0,0,0.63,0.51
Frei Miguelinho,1,0,0,1,0,0,0,0,0,0,0.64,0.48
São Benedito do Sul,1,0,0,1,1,0,0,0,0,0,0.54,0.55
Betânia,1,0,0,1,1,0,0,0,0,0,0.52,0.56
Orocó,1,0,0,1,1,0,0,0,0,0,0.4,0.61
Itaíba,1,0,0,0,0,0,0,0,0,0,0.56,0.47
Calçado,1,0,0,0,1,0,0,0,0,0,0.41,0.51
Pombos,1,0,0,0,0,0,0,0,0,0,0.38,0.5
